#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006281	DNA repair	7	497	1.4	3.25e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,FANCA,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0035282	Segmentation	4	104	1.84	0.0011	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370	TP53,ATM,BMPR1A,WT1
GO Process	GO:0001756	Somitogenesis	3	64	1.92	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107	TP53,ATM,BMPR1A
GO Process	GO:0006289	Nucleotide-excision repair	3	57	1.97	0.0083	9606.ENSP00000269305,9606.ENSP00000491742,9606.ENSP00000498881	TP53,BIVM-ERCC5,ERCC5
GO Process	GO:0006302	Double-strand break repair	4	204	1.55	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,BRCA1,ERCC5
GO Process	GO:0007507	Heart development	5	548	1.21	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759	TP53,ATM,BMPR1A,WT1,SETD2
GO Process	GO:0007548	Sex differentiation	4	282	1.4	0.0083	9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952	ATM,BMPR1A,WT1,FANCA
GO Process	GO:0008630	Intrinsic apoptotic signaling pathway in response to DNA damage	3	75	1.86	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:0009790	Embryo development	6	1049	1.01	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,BMPR1A,WT1,SETD2,BRCA1
GO Process	GO:0009952	Anterior/posterior pattern specification	4	216	1.52	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370	TP53,ATM,BMPR1A,WT1
GO Process	GO:0010628	Positive regulation of gene expression	6	1146	0.97	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,BMPR1A,WT1,SETD2,BRCA1
GO Process	GO:0044773	Mitotic DNA damage checkpoint signaling	3	81	1.82	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:0048646	Anatomical structure formation involved in morphogenesis	6	938	1.06	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759	TP53,ATM,GNAS,BMPR1A,WT1,SETD2
GO Process	GO:0051052	Regulation of DNA metabolic process	5	541	1.22	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000368370,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,WT1,SETD2,BRCA1
GO Process	GO:0051716	Cellular response to stimulus	11	6357	0.49	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:0060429	Epithelium development	6	1069	1.0	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759	TP53,ATM,GNAS,BMPR1A,WT1,SETD2
GO Process	GO:0071479	Cellular response to ionizing radiation	3	75	1.86	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000418960	TP53,ATM,BRCA1
GO Process	GO:0090304	Nucleic acid metabolic process	8	2203	0.81	0.0083	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,WT1,FANCA,SETD2,BRCA1,BIVM-ERCC5,ERCC5
GO Process	GO:1902895	Positive regulation of miRNA transcription	3	48	2.05	0.0083	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000368370	TP53,BMPR1A,WT1
GO Process	GO:0043009	Chordate embryonic development	5	654	1.14	0.0087	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,BMPR1A,SETD2,BRCA1
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	4	316	1.36	0.0104	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,SETD2,BRCA1
