#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0035825	Homologous recombination	5	63	2.11	5.13e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA1
GO Process	GO:0006310	DNA recombination	6	235	1.62	1.44e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:1901987	Regulation of cell cycle phase transition	7	431	1.43	1.44e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,BRCA2,PBRM1,BRCA1
GO Process	GO:0007346	Regulation of mitotic cell cycle	7	493	1.37	1.80e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,BRCA2,PBRM1,BRCA1
GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling	5	127	1.81	2.99e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,BRCA1
GO Process	GO:0000278	Mitotic cell cycle	7	631	1.26	4.03e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,BRCA2,PBRM1,BRCA1
GO Process	GO:0010212	Response to ionizing radiation	5	143	1.76	4.03e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,BRCA2,BRCA1
GO Process	GO:0071214	Cellular response to abiotic stimulus	6	325	1.48	4.03e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,MAP3K1,BRCA1
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	6	316	1.49	4.03e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0071478	Cellular response to radiation	5	183	1.65	7.34e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,BRCA1
GO Process	GO:0080135	Regulation of cellular response to stress	7	712	1.21	7.34e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,ATM,MAP2K1,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0006974	Cellular response to DNA damage stimulus	7	744	1.19	7.94e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0006302	Double-strand break repair	5	204	1.6	9.34e-05	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0007049	Cell cycle	8	1246	1.02	9.52e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0009314	Response to radiation	6	444	1.35	9.81e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0071479	Cellular response to ionizing radiation	4	75	1.94	9.81e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
GO Process	GO:0022402	Cell cycle process	7	835	1.14	0.00012	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0006281	DNA repair	6	497	1.3	0.00014	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
GO Process	GO:0048583	Regulation of response to stimulus	11	3931	0.66	0.00014	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,PBRM1,BRCA1
GO Process	GO:0080134	Regulation of response to stress	8	1373	0.98	0.00014	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:0051052	Regulation of DNA metabolic process	6	541	1.26	0.00021	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,PBRM1,BRCA1
GO Process	GO:1903047	Mitotic cell cycle process	6	537	1.26	0.00021	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,BRCA2,BRCA1
GO Process	GO:0035518	Histone H2A monoubiquitination	3	23	2.33	0.00024	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
GO Process	GO:0035556	Intracellular signal transduction	8	1518	0.94	0.00025	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,BRCA2,MAP3K1,BRCA1
GO Process	GO:0000724	Double-strand break repair via homologous recombination	4	114	1.76	0.00029	9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,ERCC4,BRCA2,BRCA1
GO Process	GO:0033554	Cellular response to stress	8	1572	0.92	0.00030	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
GO Process	GO:2000001	Regulation of DNA damage checkpoint	3	27	2.26	0.00032	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
GO Process	GO:0007127	Meiosis I	4	126	1.72	0.00037	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497	ATM,FANCD2,ERCC4,BRCA2
GO Process	GO:1901990	Regulation of mitotic cell cycle phase transition	5	332	1.39	0.00042	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000386593,9606.ENSP00000418960	APC,BARD1,ATM,PBRM1,BRCA1
GO Process	GO:0009628	Response to abiotic stimulus	7	1107	1.02	0.00045	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
GO Process	GO:0042770	Signal transduction in response to DNA damage	4	135	1.69	0.00045	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,BRCA2,BRCA1
GO Process	GO:1901991	Negative regulation of mitotic cell cycle phase transition	4	167	1.59	0.00091	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	APC,BARD1,ATM,BRCA1
GO Process	GO:0031297	Replication fork processing	3	45	2.04	0.0010	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
GO Process	GO:0044818	Mitotic G2/M transition checkpoint	3	50	1.99	0.0012	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
GO Process	GO:0010332	Response to gamma radiation	3	55	1.95	0.0015	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497	ATM,FANCD2,BRCA2
GO Process	GO:0007131	Reciprocal meiotic recombination	3	56	1.94	0.0016	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520	ATM,FANCD2,ERCC4
GO Process	GO:0090398	Cellular senescence	3	60	1.91	0.0019	9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497	ATM,MAP2K1,BRCA2
